art_no,name,competitor,link
40477340,BILLY bookc 31 1/2x11x79 1/2  black oak effect,Amazon,https://www.amazon.com/Furinno-Bookcase-Bookshelf-Adjustable-Shelves/dp/B0DC5YT6SS/
40477340,BILLY bookc 31 1/2x11x79 1/2  black oak effect,Target,https://www.target.com/p/5-shelf-bookcase-room-essentials-153/-/A-54376271?preselect=54360632#lnk=sametab
40477340,BILLY bookc 31 1/2x11x79 1/2  black oak effect,Wal-mart,https://www.walmart.com/ip/Mainstays-5-Shelf-Bookcase-with-Adjustable-Shelves-White/3403152228
50508652,BILLY bookc 31 1/2x11x79 1/2  brown walnut effect,Amazon,https://www.amazon.com/Furinno-Bookcase-Bookshelf-Adjustable-Shelves/dp/B0CPP95LLL/ref=sr_1_33?crid=2K9X7RBFWFVFP&dib=eyJ2IjoiMSJ9.Z43SS_4dJjEMAuFSobcjssZObXpzHamvK1ejzy1eZE2XSSMIWuY_8rsNgomh9hMQZdoceH9YTJebWYKMBWde_IAO4MT8Iccauni1kNQ0E0AROpYkIMnqPCKmaWcn2kPtWg29dY5xjGzBFo_FWbyOFBSLqJcCtMqBNR6IruGs-fUT-7nQAZdLhfhaJkH86fRGPoqePog6Tr8YNT6YgfW-ri-0zUdOiNypjP5il8m7UyQCSoxmdaCMpYvYTTkCip8JcRM-KmP7uw4NpCOLyaXbt5MGNMnQQYmWXDvSGntQav5fcP9gxCFmO6ic7i3yv_RsObETHFmStifjLadUFqZpNFkF1Az2nUNXVzwY-G4b_t39KqxIquUBp-DN7hSbS4FfDX2i8h8ZtSIVmIuPb2828fUmlmhW3VGfwZ5W74YdEj1uDb7kc9xYNopqByayuOdI.NgiNtoJ2SeUvQCmkwrt9UQ8lCgALNcCtD9vC338xC-w&dib_tag=se&keywords=30%2Bx%2B80%22%2Bwhite%2Bbookcase&qid=1742996431&sprefix=30%2Bx%2B80%2Bwhite%2Bbookcase%2Caps%2C85&sr=8-33&th=1
50508652,BILLY bookc 31 1/2x11x79 1/2  brown walnut effect,Wal-mart,https://www.walmart.com/ip/Mainstays-5-Shelf-Bookcase-with-Adjustable-Shelves-Canyon-Walnut/251382558?athcpid=251382558&athpgid=AthenaItempage&athcgid=null&athznid=ctl&athieid=v0&athstid=CS020&athguid=JhKUBhbz-8mpZGayKyiO_J71tj1c9y5_rE3_&athancid=251382558&athena=true
80492782,BILLY bookc 31 1/2x11x79 1/2  dbrn oak effect,Amazon,https://www.amazon.com/Furinno-Bookcase-Bookshelf-Adjustable-Shelves/dp/B0DC5ZMHGH/ref=sr_1_33?crid=2K9X7RBFWFVFP&dib=eyJ2IjoiMSJ9.Z43SS_4dJjEMAuFSobcjssZObXpzHamvK1ejzy1eZE2XSSMIWuY_8rsNgomh9hMQZdoceH9YTJebWYKMBWde_IAO4MT8Iccauni1kNQ0E0AROpYkIMnqPCKmaWcn2kPtWg29dY5xjGzBFo_FWbyOFBSLqJcCtMqBNR6IruGs-fUT-7nQAZdLhfhaJkH86fRGPoqePog6Tr8YNT6YgfW-ri-0zUdOiNypjP5il8m7UyQCSoxmdaCMpYvYTTkCip8JcRM-KmP7uw4NpCOLyaXbt5MGNMnQQYmWXDvSGntQav5fcP9gxCFmO6ic7i3yv_RsObETHFmStifjLadUFqZpNFkF1Az2nUNXVzwY-G4b_t39KqxIquUBp-DN7hSbS4FfDX2i8h8ZtSIVmIuPb2828fUmlmhW3VGfwZ5W74YdEj1uDb7kc9xYNopqByayuOdI.NgiNtoJ2SeUvQCmkwrt9UQ8lCgALNcCtD9vC338xC-w&dib_tag=se&keywords=30%2Bx%2B80%22%2Bwhite%2Bbookcase&qid=1742996431&sprefix=30%2Bx%2B80%2Bwhite%2Bbookcase%2Caps%2C85&sr=8-33&th=1
80492782,BILLY bookc 31 1/2x11x79 1/2  dbrn oak effect,Wayfair,https://www.wayfair.com/furniture/pdp/latitude-run-axess-5-shelf-bookcase-w009975052.html?piid=1174414348%2C1174414349
10508932,BILLY bookc 31 1/2x11x79 1/2  oak effect,Amazon,https://www.amazon.com/Furinno-Bookcase-Bookshelf-Adjustable-Shelves/dp/B0CPP6Z8CJ/ref=sr_1_33?crid=2K9X7RBFWFVFP&dib=eyJ2IjoiMSJ9.Z43SS_4dJjEMAuFSobcjssZObXpzHamvK1ejzy1eZE2XSSMIWuY_8rsNgomh9hMQZdoceH9YTJebWYKMBWde_IAO4MT8Iccauni1kNQ0E0AROpYkIMnqPCKmaWcn2kPtWg29dY5xjGzBFo_FWbyOFBSLqJcCtMqBNR6IruGs-fUT-7nQAZdLhfhaJkH86fRGPoqePog6Tr8YNT6YgfW-ri-0zUdOiNypjP5il8m7UyQCSoxmdaCMpYvYTTkCip8JcRM-KmP7uw4NpCOLyaXbt5MGNMnQQYmWXDvSGntQav5fcP9gxCFmO6ic7i3yv_RsObETHFmStifjLadUFqZpNFkF1Az2nUNXVzwY-G4b_t39KqxIquUBp-DN7hSbS4FfDX2i8h8ZtSIVmIuPb2828fUmlmhW3VGfwZ5W74YdEj1uDb7kc9xYNopqByayuOdI.NgiNtoJ2SeUvQCmkwrt9UQ8lCgALNcCtD9vC338xC-w&dib_tag=se&keywords=30%2Bx%2B80%22%2Bwhite%2Bbookcase&qid=1742996431&sprefix=30%2Bx%2B80%2Bwhite%2Bbookcase%2Caps%2C85&sr=8-33&th=1
10508932,BILLY bookc 31 1/2x11x79 1/2  oak effect,Wal-mart,https://www.walmart.com/ip/Mainstays-5-Shelf-Bookcase-with-Adjustable-Shelves-Canyon-Walnut/318995418
50522040,BILLY N4 bookc 15 3/4x11x79 1/2  white,Amazon,https://www.amazon.com/Tvilum-7177549-Element-Narrow-Bookcase/dp/B00TUV8RF0/
50522040,BILLY N4 bookc 15 3/4x11x79 1/2  white,Wayfair,https://www.wayfair.com/furniture/pdp/wade-logan-cannice-standard-bookcase-w007635262.html?piid=1134752021%2C1135729358
90522043,BILLY N4 bookc 31 1/2x11x41 3/4  white,Amazon,https://www.amazon.com/Furinno-Pasir-3-Tier-Shelf-Bookcase/dp/B08XX3XYBB/ref=sr_1_6?crid=2NQ3JSFJJ8AEV&dib=eyJ2IjoiMSJ9.cFQ8B_oQH-_BzNHjDmLVl8CcZA3CQpQIdnCQFLGiYnkoWKGZGAuWzz5L4iEMNFHg_GiKVrwFzkrcGSlrjCCR7FltOmhoStdTE6RhGIHSjYSOH1kUVdB-jSgH_J2MdtCouQbXo3K4QKa6if-msRtt_eEAdWOlr--QU9nVjD1n6gydkbgGfuVyfyZzTTXJ6UqF0ctgrSV2Sz_rfLqH_qI3Mr8lJJJ39fUR1YuYeh2BKbEV0-bBzdDVKvtf8ZDFQMsgGOp7eBxrJ5cPjrK4aGEAPK3EYQ00NICJCVuT1LJKlnE3M8c7fS0TPqNiJ2vMdNPqwU6G49U6p3_XWEqbgjpM92554aUmeAPBGetBezA1v6U.2lHt-m9seCD9tTx7jEI15CDZejCI3qmJVmR01lrZ6P4&dib_tag=se&keywords=white+bookshelf&qid=1743009913&s=home-garden&sprefix=white+bo%2Cgarden%2C91&sr=1-6
90522043,BILLY N4 bookc 31 1/2x11x41 3/4  white,Wal-mart,https://www.walmart.com/ip/Furinno-JAYA-Wood-Simple-Home-3-Tier-Adjustable-Shelf-Bookcase-in-White/50179653?classType=VARIANT&from=/search
90522043,BILLY N4 bookc 31 1/2x11x41 3/4  white,Wayfair,https://www.wayfair.com/furniture/pdp/wade-logan-breayla-bookcase-w110087435.html?piid=1194449899%2C1194449902
